text,category
"Nawawala ang aso ko sa Dagatan, puti, malaki, may tuldok na itim sa tagiliran.",other
Sunog sa Banaybanay! Kumakalat na ang apoy! Tumawag na ng bumbero at police!,public_safety
"SOS! Lampas tuhod na ang baha sa Sabang, hindi na kaya ng mga matatanda!",disaster_flooding
"Gumuho ang bahagi ng kalsada sa Tambois malapit sa eskwelahan, mapanganib sa bata.",public_infrastructure
"Ang dilim ng kalsada sa Pinagtongulan ng gabi, delikado para sa mga naglalakad.",public_safety
"Napakaraming sasakyan ang naghihintay sa Marawoy, may isinasarang daan ngayon.",transportation_traffic
"Ang tubig sa Banaybanay ay patuloy pang tumataas, kailangan na ng evacuation!",disaster_flooding
"Saklolo po! Hanggang dibdib na ang tubig baha sa Inosluban, may mga bata at matatanda kami!",disaster_flooding
"Maganda ang bagong park sa Banaybanay, salamat sa LGU sa proyektong ito!",other
"Grabe ang baha sa Dagatan, umabot na sa bubong ng mga bahay! Tulong sa aming lugar!",disaster_flooding
"Ang canal sa Lumbang ay puno na ng basura, nagsisimulang mag-overflow sa kalsada.",public_infrastructure
Security issue sa Mataas na Lupa: may mga naka-motor na naglilibot parang nagre-recon ng area.,public_safety
